subject_id	object_id
SCDO:1000676	NCIT:C51776
SCDO:1000368	HP:0011025
SCDO:0005335	CHEBI:35493
SCDO:1000658	NCIT:C67376
SCDO:1000491	UO:0000051
SCDO:0000439	OGMS:0000046
SCDO:0001163	CMO:0000365
SCDO:1000006	NCIT:C15900
SCDO:0000014	CMO:0000210
SCDO:0000411	HP:0100601
SCDO:0000936	HP:0003765
SCDO:0000554	HP:0003641
SCDO:1000021	HP:0000618
SCDO:1000248	HP:0004825
SCDO:1000390	NCIT:C115199
SCDO:1000678	NCIT:C51774
SCDO:1000469	NCIT:C69256
SCDO:0001138	OBI:0200198
SCDO:0000460	HP:0000096
SCDO:0000151	CMO:0000015
SCDO:0008218	HP:0000824
SCDO:0000786	CMO:0002876
SCDO:0000451	GAZ:00000448
SCDO:0000068	SYMP:0000412
SCDO:1000022	HP:0000505
SCDO:1000718	CMO:0000225
SCDO:1000851	EUPATH:0000310
SCDO:0000946	HP:0000999
SCDO:0003765	HP:0001701
SCDO:1000681	HP:0003573
SCDO:0000871	NCIT:C102988
SCDO:0000703	HP:0003563
SCDO:0000639	HP:0000789
SCDO:0000911	NCIT:C38141
SCDO:0000449	NCIT:C15709
SCDO:1000853	NCIT:C81262
SCDO:1000266	HP:0500015
SCDO:0008062	NCIT:C29091
SCDO:0000309	HP:0000961
SCDO:0001103	HP:0005268
SCDO:1000282	DOID:0111033
SCDO:1000409	DUO:0000020
SCDO:0000596	HP:0002149
SCDO:0000012	HP:0001061
SCDO:0000020	HP:0008682
SCDO:0005773	NCIT:C103270
SCDO:1000562	OPMI:0000025
SCDO:1000246	HP:0030058
SCDO:0000790	HP:0030050
SCDO:1000640	MP:0010068
SCDO:0001314	HP:0001999
SCDO:0000477	NCIT:C28516
SCDO:1000664	HP:0003155
SCDO:1000642	UO:0000186
SCDO:0001042	CMO:0000057
SCDO:1000269	HP:0025142
SCDO:0001024	HP:0011868
SCDO:0000445	OGMS:0000047
SCDO:0001072	MP:0001212
SCDO:0000281	NCIT:C123446
SCDO:0006790	NCIT:C51993
SCDO:1000385	NCIT:C78254
SCDO:1000655	MP:0011471
SCDO:0000800	HP:0012759
SCDO:0000933	CMO:0000211
SCDO:1000628	UO:0000002
SCDO:0000622	MP:0001792
SCDO:1000382	NCIT:C115224
SCDO:0004314	NCIT:C18133
SCDO:0002067	DOID:813
SCDO:0000672	HP:0001382
SCDO:0000264	CHMO:0002580
SCDO:0000137	CMO:0000204
SCDO:0000512	NCIT:C84481
SCDO:0007386	HP:0000829
SCDO:1000311	CMO:0002079
SCDO:0000821	ExO:0000034
SCDO:0008043	HP:0002014
SCDO:1000410	DUO:0000021
SCDO:0000646	NCIT:C120254
SCDO:0000880	ARO:0000054
SCDO:1000564	OPMI:0000024
SCDO:0000638	OBI:0000925
SCDO:0000150	CMO:0000021
SCDO:0008115	ICO:0000179
SCDO:1000447	HP:0011897
SCDO:0000590	HP:0003077
SCDO:0000090	HP:0007018
SCDO:0007437	HP:0000834
SCDO:0000089	HP:0012444
SCDO:0000837	NCIT:C19228
SCDO:0005364	NCIT:C16779
SCDO:1000200	CHEBI:23888
SCDO:1000416	DUO:0000019
SCDO:0005864	HP:0001889
SCDO:0002710	HP:0005162
SCDO:0000395	MP:0001762
SCDO:0000015	DOID:1584
SCDO:1000478	UO:0000000
SCDO:0000939	NCIT:C17873
SCDO:0003789	NCIT:C62198
SCDO:1000334	NCIT:C155932
SCDO:0000658	HP:0001511
SCDO:0001060	NCIT:C155310
SCDO:0000043	NCIT:C95536
SCDO:0000279	OGMS:0000051
SCDO:0001673	HP:0030243
SCDO:1000616	HP:0001872
SCDO:0000203	HP:0002059
